modeldate,state,pct_estimate
9/26/2020,California,30.72474
9/25/2020,California,30.73146
10/26/2020,Hawaii,30.73753
10/25/2020,Hawaii,30.738120000000002
10/22/2020,Maryland,30.74033
8/14/2020,California,30.75556
8/15/2020,California,30.756359999999997
10/23/2020,Maryland,30.760709999999996
10/14/2020,Maryland,30.767090000000003
10/12/2020,Maryland,30.772790000000004
10/8/2020,Maryland,30.775109999999998
10/11/2020,Maryland,30.781390000000002
8/23/2020,California,30.7891
10/9/2020,Maryland,30.808059999999998
9/17/2020,California,30.81417
8/29/2020,California,30.81452
10/10/2020,Maryland,30.81734
9/18/2020,California,30.8194
9/19/2020,California,30.8203
8/16/2020,California,30.8268
8/30/2020,California,30.832179999999997
8/19/2020,California,30.834909999999997
9/2/2020,California,30.83594
8/26/2020,California,30.837059999999997
8/27/2020,California,30.837490000000003
8/20/2020,California,30.837909999999997
9/1/2020,California,30.84015
9/4/2020,California,30.84194
9/5/2020,California,30.84205
8/24/2020,California,30.84532
10/24/2020,Maryland,30.848570000000002
9/3/2020,California,30.849009999999996
8/17/2020,California,30.850040000000003
8/18/2020,California,30.85015
9/6/2020,California,30.8519
8/31/2020,California,30.852420000000002
8/21/2020,California,30.855009999999996
8/25/2020,California,30.85592
8/28/2020,California,30.873079999999998
10/2/2020,California,31.04294
10/26/2020,New York,31.04695
9/30/2020,California,31.04699
10/1/2020,California,31.04733
10/25/2020,New York,31.047359999999998
9/22/2020,California,31.10975
9/20/2020,California,31.11464
9/21/2020,California,31.131259999999997
9/24/2020,California,31.133770000000002
9/23/2020,California,31.13539
5/3/2020,Massachusetts,31.13743
5/4/2020,Massachusetts,31.144029999999997
5/2/2020,Massachusetts,31.15649
5/5/2020,Massachusetts,31.16987
5/1/2020,Massachusetts,31.172179999999997
10/4/2020,California,31.229059999999997
10/3/2020,California,31.230590000000003
10/12/2020,California,31.23593
10/8/2020,California,31.239890000000003
10/11/2020,California,31.243609999999997
10/6/2020,California,31.2444
10/7/2020,California,31.24532
10/5/2020,California,31.24679
10/9/2020,California,31.26874
10/10/2020,California,31.27784
10/17/2020,California,31.333090000000002
10/18/2020,California,31.350859999999997
10/21/2020,California,31.38707
10/15/2020,Hawaii,31.404090000000004
10/20/2020,California,31.43768
10/22/2020,California,31.45908
10/23/2020,California,31.4713
10/13/2020,California,31.477240000000002
10/19/2020,California,31.494020000000003
10/16/2020,California,31.49438
